trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.7, 'e': 0.049787068367863944}",25,5,33.8419705357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.04880121836201296}",25,9,22.0759904725,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.04783488949419837}",25,12,22.7059195572,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.046887695219988486}",20,11,3.87317658021,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.045959256649044204}",25,20,11.571780323,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.0450492023935578}",20,16,9.35485689207,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.04415716841969286}",25,11,20.0197826131,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.043282797901965896}",30,13,33.5612873725,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 0.042425741080511385}",20,16,8.09988089867,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.04158565512117316}",20,0,27.5272787145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.7, 'e': 0.04076220397836621}",20,6,23.2246858185,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.039955058260653896}",25,7,7.61842100381,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.039163895098987066}",25,10,15.6892591385,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.038388398017552054}",25,16,18.7415925926,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.0376282568071762}",25,8,28.5588497269,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.036883167401239994}",20,7,22.2759887445,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.03615283175404641}",20,0,36.1331671947,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.7, 'e': 0.03543695772159864}",20,13,12.9614103743,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.03473525894473856}",25,17,14.8557269401,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.034047454734599344}",20,15,8.76431122189,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.03337326996032608}",20,16,9.05751871148,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.03271243493901982}",30,12,30.8276314743,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.03206468532786077}",25,2,40.1337022819,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.03142976201836771}",20,2,25.4038228647,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.030807411032751076}",25,11,-19.4642035856,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.7, 'e': 0.0301973834223185}",20,10,19.4435167612,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 0.029599435167892}",30,18,21.5357829207,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.029013327082197053}",25,14,-0.0945573094824,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.028438824714184505}",20,4,28.0564684218,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.027875698255247015}",25,19,8.46765807302,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 0.02732372244729256}",25,7,26.4103121785,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.026782676492638175}",20,6,22.7866904246,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.02625234396568796}",20,5,21.5553471593,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.7, 'e': 0.02573251272635994}",20,12,15.9522946841,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.7, 'e': 0.025222974835227212}",25,8,22.5335122579,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.7, 'e': 0.024723526470339388}",25,14,17.3571453217,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.7, 'e': 0.024233967845691113}",25,14,21.5496858599,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.7, 'e': 0.023754103131304997}",25,17,16.8413155365,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.7, 'e': 0.023283740374897}",25,20,11.2580608796,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.7, 'e': 0.02282269142509297}",20,12,12.8461604959,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.7, 'e': 0.02237077185616559}",20,15,8.56321483807,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.7, 'e': 0.02192780089426161}",20,12,11.8731173576,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.7, 'e': 0.021493601345089923}",30,17,21.921198145,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.7, 'e': 0.021067999523041434}",20,10,15.5130919045,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
